,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.19999999999999754,0.01000000000000531,0.010000000000002316,0.19999999999999205,0.010000000000004056,0.1999999999999952,0.01000000000000081,0.01,0.01000000000000278,0.010000000000000007,0.01,0.010000000000000356,0.010000000000001421,0.010000000000004564,0.010000000000000252,0.01,0.1999999999999966,0.049999999999996166,0.010000000000002559,0.01000000000000109
2015-02-06,0.2,0.01,0.01,0.2,0.01,0.2,0.01,0.010000000000002292,0.01,0.010000000000001367,0.010000000000001853,0.01,0.01,0.01,0.010000000000000054,0.01000000000000203,0.15442793463567722,0.09557206536432461,0.01,0.01
2015-03-10,0.19999999999999973,0.0100000000000006,0.01,0.0858755114407059,0.01000000000000003,0.2,0.01,0.010000000000000009,0.01,0.01,0.01,0.01,0.01,0.010000000000000146,0.01,0.010000000000000397,0.2,0.16412448855929557,0.01,0.01
2015-04-09,0.2,0.010000000000001738,0.010000000000000701,0.12266705687692343,0.010000000000000564,0.2,0.01,0.01,0.010000000000000857,0.01,0.010000000000000075,0.01,0.01,0.010000000000000644,0.03255386034773908,0.010000000000000503,0.2,0.10477908277533286,0.01,0.01
2015-05-08,0.18377335271906184,0.01000000000000312,0.01,0.06622664728093558,0.010000000000002047,0.19999999999999815,0.010000000000000384,0.01,0.010000000000001308,0.01,0.01,0.01000000000000001,0.010000000000000024,0.010000000000001402,0.01000000000000108,0.01,0.19999999999999846,0.1999999999999971,0.010000000000001983,0.010000000000000845
2015-06-09,0.16452211112223294,0.010000000000001235,0.010000000000000788,0.023132064114012425,0.010000000000001423,0.1999999999999995,0.010000000000000332,0.01,0.010000000000001476,0.01,0.01,0.01,0.010000000000000158,0.010000000000000642,0.11520959232189704,0.01,0.19999999999999948,0.15713623244185315,0.01000000000000064,0.010000000000000297
2015-07-09,0.15879324172168058,0.01,0.010000000000000418,0.05465232834624594,0.010000000000000986,0.2,0.01,0.01,0.010000000000000014,0.01,0.01,0.01,0.010000000000000158,0.010000000000002084,0.14644439542620477,0.01,0.1999999999999999,0.10011003450586746,0.010000000000000071,0.010000000000000255
2015-08-07,0.1638290000013397,0.01,0.01,0.06370202479669304,0.01,0.2,0.01,0.010000000000000406,0.01,0.010000000000000108,0.010000000000000205,0.01,0.01,0.01000000000000034,0.18028655757671405,0.01000000000000022,0.2,0.05218241762525738,0.01,0.01
2015-09-08,0.19999999999999968,0.01,0.01,0.03799079073041516,0.01,0.2,0.01,0.010000000000001659,0.01,0.010000000000001497,0.01000000000000182,0.01,0.01000000000000035,0.01,0.1523305404375146,0.010000000000001133,0.2,0.06967866883207983,0.01,0.01
2015-10-07,0.17764043109095834,0.010000000000000932,0.010000000000001969,0.10999480670559703,0.010000000000001457,0.19999999999999954,0.010000000000000108,0.01,0.010000000000001041,0.01,0.01,0.01,0.010000000000001175,0.010000000000001908,0.16236476220343957,0.01,0.19999999999999948,0.01,0.010000000000000344,0.010000000000000264
2015-11-05,0.18287378625108366,0.01,0.01000000000000064,0.06712621374891883,0.01,0.2,0.010000000000000219,0.01,0.01,0.010000000000000479,0.01,0.010000000000000004,0.01,0.01,0.2,0.010000000000000165,0.19999999999999976,0.010000000000000323,0.01,0.01
2015-12-07,0.15789558868925596,0.010000000000002604,0.010000000000000267,0.01,0.010000000000000925,0.2,0.010000000000000082,0.06885495404141492,0.010000000000000496,0.01,0.01,0.01,0.042184454747560204,0.010000000000001518,0.1910650025217673,0.01,0.1999999999999992,0.01,0.010000000000000146,0.010000000000000954
2016-01-07,0.07780108713553549,0.01,0.01000000000000023,0.10943663946804495,0.01,0.199999999999999,0.010000000000000484,0.060892558260034486,0.01,0.01000000000000026,0.11068033928490004,0.01,0.02025362485906496,0.01,0.10093575099242265,0.010000000000000413,0.2,0.010000000000000451,0.01,0.010000000000000089
2016-02-08,0.024400429615288603,0.01000000000002237,0.010000000000012391,0.19999999999996984,0.010000000000015458,0.19999999999996967,0.010000000000008287,0.13777253359309222,0.01000000000001576,0.010000000000001986,0.09782703679158009,0.010000000000006034,0.010000000000005612,0.010000000000005142,0.010000000000005123,0.01000000000000165,0.1999999999999736,0.010000000000000777,0.010000000000015132,0.010000000000010277
2016-03-09,0.0242407134466052,0.01000000000000403,0.010000000000000729,0.16084030036567323,0.010000000000000616,0.19999999999999896,0.01,0.1999999999999985,0.0100000000000005,0.01,0.04500644112812364,0.01,0.022821132714156863,0.010000000000000762,0.01,0.01,0.19999999999999954,0.02709141234543694,0.010000000000000625,0.010000000000000767
2016-04-08,0.053750661894970846,0.010000000000003726,0.010000000000002082,0.10096774991406239,0.010000000000003964,0.1999999999999961,0.010000000000000585,0.1999999999999902,0.010000000000003988,0.01,0.09405121152273699,0.010000000000000087,0.02123037666822912,0.010000000000001116,0.01,0.01,0.19999999999999807,0.01,0.010000000000002372,0.010000000000001502
2016-05-09,0.010000000000002954,0.010000000000014886,0.010000000000009186,0.12308366303559735,0.010000000000010983,0.1999999999999788,0.010000000000006037,0.17148279516593556,0.010000000000009583,0.010000000000001188,0.1554335417984179,0.01000000000000397,0.010000000000006894,0.010000000000000286,0.010000000000002972,0.010000000000000678,0.19999999999998533,0.010000000000001091,0.010000000000007512,0.010000000000006781
2016-06-08,0.025711859075858504,0.010000000000004894,0.01,0.1655671146989485,0.010000000000003437,0.19999999999999743,0.0100000000000015,0.19999999999999765,0.0100000000000013,0.01,0.01,0.010000000000000106,0.06872102622519022,0.01,0.010000000000000009,0.01,0.19999999999999785,0.01,0.010000000000000552,0.010000000000001381
2016-07-08,0.017828123069540222,0.010000000000014508,0.010000000000011968,0.19999999999998028,0.010000000000014114,0.19999999999997697,0.01000000000000657,0.19999999999997334,0.01000000000001391,0.010000000000003076,0.010000000000001789,0.010000000000005687,0.01,0.01,0.010000000000007154,0.010000000000002403,0.19999999999998222,0.042171876930450096,0.010000000000010683,0.010000000000007976
2016-08-08,0.010000000000001797,0.010000000000009083,0.01000000000000634,0.1711195228765984,0.01000000000000978,0.1999999999999848,0.01000000000000358,0.19999999999998527,0.010000000000008539,0.010000000000001584,0.010000000000000796,0.010000000000001603,0.012318433804407211,0.01,0.07656204331897977,0.010000000000000613,0.19999999999999088,0.01,0.01000000000000736,0.010000000000005595
2016-09-07,0.01,0.01,0.01,0.12765973538219627,0.01,0.2,0.01,0.16113203972485587,0.01,0.01,0.01,0.11238603959071151,0.028976310955541158,0.010000000000000578,0.03620119873057066,0.010000000000000002,0.2,0.013644675616135719,0.01,0.01
