,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2005-01-10,0.19999999999993565,0.01,0.010000000000030554,0.010000000000019004,0.01,0.01,0.01,0.2,0.01,0.028030471984217604,0.010000000000014674,0.01,0.01,0.15127312773815946,0.01,0.020122338191738035,0.2,0.010000000000020303,0.018426232287759223,0.062147829798382945
2005-02-09,0.010000000000002403,0.19999999999998616,0.010000000000000175,0.010000000000008676,0.010000000000019021,0.010000000000057196,0.010000000000006214,0.08239087925421537,0.010000000000047127,0.010000000000000776,0.19999999999994977,0.032997014736437964,0.010000000000003171,0.11945428376731591,0.010000000000040594,0.010000000000027322,0.010000000000003267,0.048707579072353964,0.010000000000001742,0.18645024312692104
2005-03-11,0.043367265701627904,0.08184334482052497,0.043911708888071395,0.19333203079543934,0.01,0.010000000000045887,0.010000000000048482,0.199999999999964,0.010000000000035572,0.10754564979426692,0.01,0.01,0.01000000000000686,0.01,0.01000000000001271,0.010000000000000132,0.1999999999999673,0.010000000000033243,0.010000000000019117,0.01
2005-04-12,0.010000000000000002,0.010000000000048678,0.010000000000047145,0.10803489804269775,0.010000000000025683,0.010000000000048723,0.010000000000021984,0.010000000000046189,0.01000000000006673,0.010000000000000002,0.010000000000000002,0.010000000000017871,0.010000000000052137,0.010000000000005612,0.19999999999997772,0.010000000000005707,0.19999999999996076,0.14196510195745685,0.010000000000000002,0.1999999999999637
2005-05-11,0.01,0.01,0.01,0.01000000000012929,0.01,0.01,0.01,0.08590472820393821,0.01,0.010000000000495066,0.010000000000119814,0.01,0.08862957629963257,0.010000000001161708,0.01,0.1422788670300342,0.16488814556534226,0.2,0.010000000000446629,0.17829868291941087
2005-06-10,0.01000000000001948,0.010000000000039096,0.19999999999997864,0.01,0.010000000000039073,0.1170370875375353,0.010000000000041698,0.01,0.010000000000026358,0.010000000000021934,0.05422540460133587,0.19999999999992799,0.07936379611652632,0.01,0.010000000000016421,0.1454316301744126,0.01,0.010000000000014648,0.01,0.073942081570108
2005-07-12,0.01,0.01,0.2,0.027330855900586558,0.01,0.01,0.0784716656971881,0.01,0.01,0.2,0.010000000000055785,0.01,0.01,0.10157708456030161,0.01,0.010000000000007048,0.06262039384280123,0.01,0.010000000000009545,0.2
2005-08-10,0.19999999999998455,0.19999999999995483,0.010000000000003093,0.010000000000004408,0.06294701256396976,0.010000000000049627,0.010000000000133078,0.01000000000000598,0.010000000000108615,0.16661712438372717,0.030435863175405177,0.010000000000025107,0.010000000000056502,0.010000000000005988,0.010000000000000762,0.010000000000005515,0.19999999999992402,0.01000000000004269,0.010000000000000862,0.01000000000000209
2005-09-09,0.05589908085033389,0.1745065155313435,0.08904587247302469,0.010000000000035003,0.062024191932131996,0.010000000000304089,0.010000000000350995,0.01,0.010000000000323146,0.08852433921271373,0.1999999999996967,0.010000000000232096,0.010000000000173488,0.19999999999958598,0.010000000000082694,0.01,0.010000000000089158,0.01,0.01,0.01
2005-10-10,0.045317237782547634,0.010000000000682041,0.010000000001300045,0.01,0.19999999999841264,0.01000000000114986,0.01000000000303953,0.01,0.010000000001959443,0.01,0.1867450326381864,0.010000000000206422,0.010000000000992965,0.1821628507047226,0.01,0.0457748788709831,0.19999999999762472,0.010000000000206077,0.01,0.01
2005-11-08,0.2,0.01,0.01,0.010000000000004455,0.01,0.01,0.01,0.046418410237935595,0.2,0.2,0.010000000000017046,0.11222413376160417,0.01,0.010000000000049313,0.01,0.010000000000036579,0.10135745600060869,0.010000000000005739,0.010000000000004807,0.01
2005-12-08,0.2,0.06789268505741622,0.01,0.01,0.01,0.01,0.01,0.010000000000024874,0.2,0.04252567567748305,0.010000000000020524,0.01,0.01,0.14958163926519807,0.01,0.010000000000022132,0.2,0.01,0.010000000000001183,0.010000000000010924
2006-01-10,0.19999999999998175,0.19999999999999007,0.010000000000025067,0.01,0.01000000000003765,0.010000000000009713,0.010000000000059213,0.01,0.09612871727668444,0.01,0.012000007598120853,0.010000000000015651,0.0100000000000232,0.07131216698218852,0.01000000000005571,0.01,0.09055910814291089,0.010000000000014471,0.01,0.19999999999996543
2006-02-09,0.01,0.2,0.2,0.01,0.01,0.01,0.01,0.010000000000219186,0.01,0.010000000000657863,0.0156581401678213,0.01,0.010000000000073467,0.10065718366190447,0.2,0.13115299436219982,0.010000000000108885,0.02253168180957662,0.01000000000011536,0.01
2006-03-13,0.01,0.01,0.01,0.010000000000073308,0.01,0.19693100805566569,0.01,0.01000000000020992,0.01,0.1365512511347275,0.01,0.01,0.01,0.2,0.2,0.010000000000363236,0.010000000000214431,0.010000000000085062,0.010000000000215363,0.11651774081091694
2006-04-11,0.19999999999999715,0.01,0.010000000000001336,0.01000000000000655,0.2,0.01,0.01,0.010000000000003966,0.010000000000000009,0.010000000000003074,0.010000000000003065,0.2,0.01,0.010000000000005503,0.01,0.010000000000005086,0.0500000000000137,0.01,0.2,0.010000000000001404
2006-05-11,0.010000000000721406,0.010000000000371856,0.01,0.01,0.010000000000249695,0.01000000000019242,0.2,0.01,0.09433951940737412,0.01,0.03829198551242623,0.1999999999996402,0.010000000001260589,0.1999999999994627,0.010000000000180998,0.01,0.12736849507922787,0.010000000000024715,0.01,0.01
2006-06-12,0.01,0.01,0.2,0.01,0.1790274380972623,0.01,0.01,0.010000000000746273,0.01,0.07097256190662296,0.010000000000271105,0.2,0.01,0.2,0.010000000000142397,0.010000000000830555,0.010000000000369588,0.01,0.01,0.01
2006-07-12,0.07898592576030898,0.19999999999996065,0.19999999999995155,0.04667053579889211,0.010000000000037958,0.010000000000025332,0.010000000000039,0.01,0.010000000000046713,0.01,0.01,0.010000000000028618,0.13434353844082708,0.19999999999993132,0.01000000000000848,0.01,0.010000000000012303,0.010000000000006953,0.01,0.010000000000022505
2006-08-10,0.07371219916894815,0.01000000000394329,0.19999999999001122,0.010000000001568138,0.01000000000389699,0.010000000003922696,0.01000000000784011,0.010000000000197013,0.010000000004260077,0.01,0.1561424243563388,0.010000000008171224,0.010000000004132325,0.030145376466254058,0.19999999999194593,0.19999999998805748,0.01,0.010000000000642701,0.01,0.010000000001821698
2006-09-11,0.09734623889372747,0.010000000000201957,0.010000000000013737,0.010000000000012546,0.010000000000140074,0.010000000000221774,0.010000000000194218,0.010000000000006082,0.027964682594096808,0.01000000000000707,0.13468907851226183,0.19999999999961027,0.010000000000145086,0.010000000000046994,0.19999999999987256,0.010000000000014279,0.19999999999979226,0.010000000000002202,0.010000000000006698,0.010000000000060077
2006-10-10,0.2,0.15989876244471632,0.2,0.01,0.17198612776505393,0.010000000000000944,0.01,0.010000000000042319,0.01,0.010000000000037182,0.11811510979030411,0.01,0.01,0.010000000000022328,0.01,0.010000000000021611,0.010000000000003225,0.010000000000011194,0.010000000000001511,0.010000000000014744
2006-11-08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14202961584296647,0.01,0.05272278037092329,0.2,0.01,0.2,0.065247603791017,0.01,0.2,0.010000000000273158,0.01,0.01,0.01
2006-12-08,0.010000000000423321,0.19999999999999457,0.01,0.2,0.010000000000058967,0.010000000000070031,0.010000000002395665,0.01,0.010000000001025456,0.14493390233959144,0.10506609765900103,0.01,0.01,0.010000000000039847,0.010000000000089201,0.19999999999859294,0.01,0.01,0.01,0.01
2007-01-11,0.010000000000041448,0.19999999999995272,0.1999999999999602,0.014498445710711759,0.010000000000022146,0.12249289552301981,0.010000000000057619,0.01,0.010000000000060173,0.01,0.09334959855348338,0.010000000000024711,0.010000000000018527,0.01,0.010000000000024437,0.19999999999980744,0.01,0.03965906021286512,0.01,0.010000000000019917
2007-02-12,0.01,0.19999999999998547,0.010000000000015602,0.04867838954496788,0.01,0.10596520488521756,0.01,0.010000000000048345,0.1720553615886047,0.06314014288944228,0.06259488155537508,0.01,0.01,0.0275660195363036,0.010000000000029246,0.2,0.010000000000013345,0.010000000000032762,0.010000000000030339,0.010000000000031152
2007-03-14,0.01,0.2,0.01,0.2,0.01,0.01,0.01,0.01000000000001087,0.01,0.010000000000040511,0.07139871888157007,0.01,0.17860128111894927,0.010000000000075216,0.2,0.010000000000063018,0.010000000000017432,0.01,0.01000000000000696,0.01
2007-04-13,0.19999999999988288,0.01,0.2,0.10714633092569305,0.01,0.01,0.01,0.010000000000079043,0.01,0.010000000000130297,0.01240652781801367,0.2,0.01,0.01,0.10087557600778652,0.01000000000013797,0.010000000000069358,0.010000000000015148,0.01,0.04957156524916063
2007-05-14,0.029463546239357027,0.010000000000547555,0.010000000000040771,0.010000000000128427,0.01000000000001851,0.010000000000182202,0.010000000000060842,0.01000000000024657,0.010000000000092515,0.19999999999965717,0.04372255639696169,0.19999999999918802,0.010000000000194197,0.17607880141389887,0.010000000000180718,0.010000000000202177,0.010000000000211468,0.19999999999950213,0.01000000000008866,0.020735095821512423
2007-06-13,0.01,0.2,0.14904746389042847,0.010000000000003636,0.18446963814761966,0.010000000000004509,0.01000000000000125,0.01,0.010000000000003187,0.11661759544883378,0.02581193442048095,0.01,0.01000000000000813,0.01,0.010000000000005954,0.01,0.1191373292311178,0.07491603886149165,0.010000000000000755,0.010000000000002394
2007-07-13,0.17786079615161812,0.01,0.17121718997853053,0.010000000000268338,0.010000000000009236,0.01,0.01600092732413698,0.01,0.010000000000036272,0.010000000000007232,0.01,0.16237432136524999,0.010000000000010932,0.2,0.13254676518042888,0.01,0.01000000000005342,0.01,0.01,0.010000000000037059
2007-08-13,0.010000000000033904,0.01,0.01,0.09000974491495582,0.01,0.01,0.199999999999703,0.01000000000026829,0.01,0.010000000000790075,0.010000000000527252,0.010000000000662866,0.01,0.15176299426084472,0.01000000000049318,0.1905745639743106,0.010000000000487121,0.11300945442299902,0.010000000000290832,0.11464324242931002
2007-09-12,0.01,0.01,0.01,0.01,0.01,0.01,0.17351176210488298,0.010000000000921537,0.01,0.07648823792761586,0.01,0.2,0.01,0.010000000003047134,0.01,0.2,0.01000000000048689,0.01,0.2,0.01
2007-10-11,0.10361218205659689,0.010000000000884145,0.010000000000093328,0.010000000000001986,0.19999999999956766,0.010000000000429126,0.010000000000014143,0.014664492831749842,0.010000000000225918,0.05358082149358107,0.01,0.01,0.01,0.14715587202668762,0.01,0.1509866315906599,0.0100000000002922,0.010000000000152987,0.01,0.19999999999998874
2007-11-09,0.010000000000063734,0.010000000000027124,0.010000000000070139,0.01,0.19999999999995569,0.010000000000014447,0.0452890995789433,0.01,0.010000000000102245,0.12682145348532406,0.19999999999999024,0.01,0.08788944693568417,0.19999999999995768,0.01,0.01,0.01,0.01,0.010000000000015776,0.010000000000051188
2007-12-11,0.2,0.01000000000010044,0.01,0.19999999999958132,0.010000000000354009,0.010000000000172461,0.01000000000020437,0.01,0.010000000000112612,0.1999999999994536,0.05690137926599079,0.010000000000389284,0.15924026313090697,0.01,0.010000000000006877,0.01,0.01,0.043858357602672246,0.010000000000187206,0.010000000000086237
2008-01-11,0.010000000000926474,0.010000000000563301,0.19999999999860077,0.19518997264574237,0.010000000000513749,0.010000000000240475,0.01000000000093949,0.010000000000000002,0.01000000000110674,0.010000000000000002,0.010000000000088976,0.010000000000047091,0.010000000001523653,0.19999999999864582,0.05481002731698086,0.010000000000000002,0.010000000000035418,0.1999999999986197,0.010000000000451608,0.01000000000029559
2008-02-12,0.010000001100261061,0.010000000652710492,0.010000000593182035,0.010000000341530231,0.010000000915149358,0.010000000515686723,0.010000000764105753,0.010000000052322124,0.010000000712943031,0.1999999978298075,0.010000000333317997,0.010000000332840629,0.010000000496461367,0.199999998372986,0.010000000372940349,0.19999999905233085,0.0500000002205926,0.01000000041273822,0.19999999809712324,0.010000000000000009
2008-03-13,0.010000000003630181,0.19999999999877985,0.19999999999740176,0.01,0.010000000003011923,0.010000000001148212,0.010000000002359913,0.01,0.16453645654319723,0.01,0.01,0.08546354345405718,0.19999999999737278,0.010000000000398468,0.010000000000200298,0.01,0.010000000000303369,0.010000000000666141,0.010000000000877383,0.010000000000885136
2008-04-14,0.01,0.03231595624918107,0.01,0.022993282943915335,0.01,0.01,0.01,0.0492424825838475,0.01,0.2,0.010000000006582318,0.16544827803408027,0.01,0.010000000000974778,0.0100000000015076,0.010000000009027456,0.01,0.010000000000576105,0.2,0.2
2008-05-13,0.2,0.01000000000001476,0.05969760726737133,0.01,0.010000000000034922,0.01000000000007827,0.010000000000017682,0.01,0.010000000000129189,0.01,0.01,0.14567946908313875,0.09046341356008905,0.023486483102045028,0.010000000000063554,0.15067302698706447,0.010000000000092135,0.1999999999999097,0.010000000000040648,0.010000000000005501
2008-06-12,0.050000000003573214,0.010000000000555667,0.01,0.19999999999885326,0.2,0.010000000000532593,0.010000000000714193,0.19999999998589266,0.010000000001251744,0.01,0.1999999999991448,0.01000000000011608,0.010000000000297398,0.01,0.010000000001223277,0.01,0.01000000000041247,0.010000000009085814,0.010000000000614745,0.01
2008-07-14,0.17807317319320454,0.010000000001929875,0.02861023055258134,0.01,0.010000000002301659,0.010000000001204127,0.010000000001413113,0.09675397304125738,0.19999999999932905,0.01,0.01,0.01,0.010000000000278043,0.19999999999819285,0.01,0.1565626232096399,0.01,0.010000000000163862,0.010000000000956306,0.010000000000245077
2008-08-12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000673517,0.2,0.010000000000303436,0.2,0.03522698300016576,0.01,0.05841425174637548,0.01,0.2,0.16635876525634757,0.01,0.01,0.01
2008-09-11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.11179935073487521,0.13820064926868772,0.010000000000712326,0.01,0.01,0.01,0.2,0.2,0.01,0.01,0.01
2008-10-10,0.010000000007337397,0.01,0.010000000037504887,0.010000000017207241,0.010000000016207832,0.010000000016021044,0.1999999999663156,0.01,0.010000000011179446,0.01000000001782624,0.19999999997468199,0.010000000006689384,0.19999999996026835,0.010000000005880513,0.04999999998279496,0.19999999997538181,0.01000000002722647,0.01,0.010000000009327922,0.010000000002532658
2008-11-10,0.01000000000241044,0.01,0.010000000002676614,0.010000000000767957,0.010000000007918293,0.19999999999763107,0.010000000003658308,0.18175757753477742,0.0682424224601162,0.01,0.01,0.01,0.010000000000205362,0.01,0.01,0.01,0.010000000001927476,0.19999999999385748,0.01000000000379941,0.19999999999677134
2008-12-10,0.010000000000333052,0.010000000000287392,0.010000000000357714,0.01,0.010000000000930374,0.010000000000388868,0.19999999999910278,0.049999999999625094,0.010000000000715867,0.01,0.01,0.01000000000000428,0.010000000000353768,0.010000000000000002,0.010000000000154668,0.01,0.19999999999959206,0.1999999999991952,0.19999999999976034,0.01000000000011487
2009-01-12,0.09941009673209564,0.010000000000006361,0.01,0.01,0.2,0.1999999999991674,0.01,0.01,0.010000000002309009,0.01,0.01,0.010000000000580907,0.010000000001077465,0.01,0.01,0.1505899032669664,0.1999999999989182,0.010000000000131038,0.010000000002693429,0.01
2009-02-11,0.01,0.2,0.01,0.2,0.010000000000000009,0.01,0.01,0.010000000001617973,0.01,0.0500000000009316,0.01,0.2,0.01,0.01,0.01,0.010000000001342293,0.01,0.2,0.01,0.01
2009-03-13,0.2,0.2,0.01,0.010000000000785962,0.01,0.01,0.01,0.010000000000441876,0.022205888321672033,0.010000000000591813,0.01,0.010000000000126527,0.01,0.2,0.03779411167393269,0.01,0.01,0.2,0.01,0.01
2009-04-14,0.06716529784567749,0.010000000003948508,0.19999999999626175,0.01,0.0100000000043675,0.010000000001894374,0.010000000000334382,0.1326048083526592,0.010000000004705,0.01,0.1999999999946653,0.046228211658625354,0.010000000000878593,0.01,0.010000000001070906,0.01,0.010000000002524738,0.01,0.199999999998461,0.024001682137702204
2009-05-13,0.01,0.01,0.01,0.010000000000064813,0.07241481659436434,0.01,0.17758518340587695,0.2,0.2,0.010000000000021877,0.010000000000084209,0.010000000000037262,0.01,0.010000000000072005,0.2,0.010000000000019488,0.01,0.01,0.01,0.01
2009-06-12,0.19999999999900184,0.010000000002409934,0.010000000000772887,0.01,0.01000000000164244,0.010000000000325382,0.01000000000057109,0.1184456206413312,0.010000000001680599,0.03142917030428454,0.01,0.01,0.01000000000034214,0.013521553527550155,0.010000000000024314,0.19999999999822382,0.10660365552225655,0.01000000000038457,0.19999999999937088,0.010000000000240155
2009-07-14,0.010000000001030115,0.19999999999887558,0.01000000000076788,0.01,0.010000000002571886,0.010000000000221776,0.010000000000959049,0.01,0.010000000002890027,0.01,0.01,0.01,0.1999999999976769,0.13357829460157586,0.01,0.11642170539757823,0.010000000000005222,0.01,0.1999999999991378,0.010000000001134988
2009-08-12,0.01,0.2,0.01,0.010000000000144175,0.01,0.01,0.11155032065190816,0.010000000000269299,0.2,0.010000000000244542,0.010000000000245028,0.08015000311900716,0.01,0.2,0.01000000000015527,0.010000000000234145,0.06829967622977906,0.01,0.01,0.01
2009-09-11,0.01,0.01,0.01,0.01000000000151671,0.01,0.01,0.2,0.10718963584866384,0.01,0.010000000002981728,0.03433156994954027,0.11847879434818577,0.01,0.2,0.01,0.01000000000190809,0.2,0.01,0.01,0.01
2009-10-12,0.19999999999883825,0.010000000000000009,0.010000000000511511,0.19999999999954216,0.01000000000108465,0.04999999999950863,0.1999999999986314,0.01,0.010000000001585465,0.01,0.01,0.010000000000659374,0.010000000000332986,0.010000000000003291,0.010000000000220879,0.01,0.010000000000279986,0.19999999999792115,0.010000000002408246,0.010000000000497854
2009-11-10,0.061045110730738726,0.010000002203302404,0.1999999924551831,0.010000001758080452,0.010000002470368894,0.0100000020965717,0.01000000209018591,0.1999999919963568,0.010000007008321831,0.16773722007178607,0.031217659016056536,0.19999999224009138,0.010000001688394915,0.01000000192953302,0.010000001840339412,0.01000000171645783,0.010000002040822983,0.010000001908963656,0.01000000264812137,0.010000002090322898
2009-12-10,0.010000003023604407,0.01000000309244756,0.010000003033177973,0.01000000290039951,0.17714787976284882,0.010000003042193074,0.010000017263759778,0.1999999884815692,0.010000003348154651,0.1999999885133037,0.010000002904193962,0.199999988589113,0.0100000029995734,0.010000002910868508,0.010000002948160731,0.07285209477667624,0.010000003033153479,0.010000002947977536,0.010000003408930046,0.010000003019894352
