,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.15696634656296554,0.010000000000252158,0.010000000000139595,0.19999999999936455,0.010000000000205218,0.19999999999956666,0.17090839163686514,0.010000000000013986,0.010000000000333588,0.010000000000111595,0.01,0.010000000001098824,0.010000000000111848,0.010000000000007921,0.010000000000179778,0.12212526179833627,0.010000000000111586,0.01,0.01000000000026562,0.010000000000126102
2015-02-06,0.01,0.01,0.2,0.010000000000077877,0.01,0.01,0.01,0.01000000000002483,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.2,0.2,0.01,0.049999999998733405,0.01
2015-03-10,0.010000000000046633,0.03827309582949001,0.010000000000067113,0.18456912933006572,0.11554960402738303,0.1999999999997451,0.12160817081412856,0.010000000000003456,0.010000000000357919,0.01,0.01,0.010000000000044093,0.010000000000050187,0.010000000000056462,0.010000000000122954,0.19999999999821008,0.01000000000006947,0.01,0.010000000000294412,0.010000000000090058
2015-04-09,0.2,0.01,0.01,0.01000000000016822,0.010000000000038978,0.01,0.2,0.01000000000003806,0.01,0.010000000000069046,0.2,0.01,0.01,0.01,0.01,0.0500000000001889,0.2,0.010000000000112823,0.01,0.01
2015-05-08,0.1945554103654523,0.010000000000068903,0.010000000000027327,0.01,0.010000000000058474,0.19999999999992227,0.010000000000037545,0.01,0.010000000000065125,0.01,0.01,0.010000000000028283,0.010000000000006884,0.19999999999997264,0.010000000000000338,0.05544458963445751,0.19999999999995655,0.01,0.010000000000036065,0.010000000000090787
2015-06-09,0.0355433015583933,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000164235,0.2,0.02445669844129646,0.2,0.01,0.010000000000165064,0.2,0.010000000000055837,0.01,0.01
2015-07-09,0.11733259390197798,0.010000000001197088,0.010000000000955944,0.19999999999737253,0.010000000000931422,0.0100000000004431,0.010000000000430928,0.19999999999536558,0.01000000000104329,0.010000000000110676,0.010000000000393736,0.13179527413786007,0.010000000000483721,0.010872131960722693,0.010000000000385973,0.010000000000105412,0.19999999999826693,0.010000000000238823,0.010000000001041629,0.010000000000672487
2015-08-07,0.010000000000013533,0.01,0.01,0.01,0.01,0.01,0.2,0.01000000000003067,0.010000000000000009,0.010000000000026866,0.010000000000066183,0.01,0.2,0.01,0.2,0.010000000000036952,0.2,0.05000000141569734,0.01,0.01
2015-09-08,0.010000000000031792,0.01000000000011024,0.01000000000005195,0.01,0.010000000000045306,0.01,0.19999999999991233,0.04999999999997363,0.010000000000085349,0.01,0.01,0.19999999999992496,0.010000000000063253,0.01,0.01,0.01,0.19999999999992712,0.01,0.19999999999996668,0.010000000000055806
2015-10-07,0.01,0.01,0.01,0.010000000000004896,0.2,0.01,0.01,0.050000000000014054,0.01,0.010000000000019051,0.010000000000020201,0.01,0.01,0.010000000000037325,0.2,0.010000000000040877,0.2,0.2,0.010000000000000002,0.01
2015-11-05,0.051702902433250715,0.0100000000004999,0.19999999999928797,0.01000000000006795,0.01000000000039127,0.0100000000001397,0.01000000000024474,0.010000000000047674,0.010000000000412703,0.010000000000007737,0.1999999999991882,0.19829709757880942,0.19999999999937096,0.010000000000056861,0.010000000000082785,0.010000000000058913,0.010000000000175254,0.010000000000047405,0.01000000000030991,0.010000000000261118
2015-12-07,0.010000000000082401,0.010000000000258746,0.010000000000468424,0.01,0.010000000000303632,0.19999999999939636,0.010000000000221642,0.01,0.010000000000155995,0.01,0.19999999999902116,0.010000000000057945,0.010000000000495318,0.19999999999987073,0.010000000000064659,0.010000000000004698,0.19999999999959148,0.04999999999983035,0.01000000000022412,0.010000000000130002
2016-01-07,0.01,0.010000000000000002,0.01,0.010000000000016182,0.01,0.2,0.2,0.010000000000035234,0.1999999999999995,0.010000000000041835,0.010000000000041311,0.01,0.01,0.010000000000011174,0.05000000000003792,0.010000000000013115,0.01,0.010000000000026866,0.2,0.01
2016-02-08,0.01000000000004845,0.010000000000190246,0.19999999999987078,0.01,0.010000000000221353,0.010000000000024531,0.19999999999979062,0.199999999999855,0.010000000000009085,0.01,0.01,0.010000000000048437,0.19999999999985205,0.01000000000005569,0.010000000000012528,0.01,0.010000000000044243,0.04999999999994783,0.010000000000140832,0.010000000000066489
2016-03-09,0.010000000000041722,0.010000000000050855,0.010000000000081275,0.15994434158843596,0.029441344029343442,0.010000000000011246,0.010000000000014097,0.010000000000012057,0.010000000000040088,0.010000000000021304,0.19999999999987028,0.010000000000006845,0.16470583964959748,0.10590847477611122,0.010000000000016968,0.01000000000000289,0.010000000000007623,0.010000000000013025,0.01000000000003412,0.1999999999997705
2016-04-08,0.010000000000383735,0.010000000000665909,0.010000000000465241,0.1999999999981831,0.010000000000861068,0.13529616636183392,0.11470383363692449,0.010000000000041389,0.010000000000813166,0.01,0.01,0.010000000000410313,0.1999999999989619,0.010000000000305008,0.010000000000243087,0.01,0.19999999999884918,0.010000000000027086,0.010000000000708522,0.010000000000464302
2016-05-09,0.01,0.01,0.01,0.01000000000032334,0.01,0.2,0.01,0.01,0.01,0.01,0.010000000000018548,0.01,0.01,0.05576324669416295,0.19423675333923704,0.2,0.2,0.01,0.01,0.01
2016-06-08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.2,0.01,0.09695338792261642,0.027519487517294675,0.01,0.2,0.13552712525619762,0.01,0.01,0.01
2016-07-08,0.010000000000134256,0.010000000000054335,0.010000000000153357,0.19999999999970883,0.010000000000287638,0.01,0.19999999999977278,0.1999999999993962,0.01000000000012901,0.01000000000003131,0.01,0.010000000000041108,0.01000000000005447,0.1853455373977496,0.010000000000015602,0.01,0.010000000000011746,0.010000000000008447,0.0100000000000277,0.06465446260256881
2016-08-08,0.01,0.01,0.01,0.2,0.01,0.010000000000016936,0.2,0.2,0.01,0.01,0.01,0.01,0.01,0.19956135980353712,0.0504386401932561,0.01,0.010000000000002012,0.010000000000014352,0.01,0.01
2016-09-07,0.010000000000125771,0.010000000000009593,0.010000000000096113,0.1999999999998354,0.010000000000038426,0.010000000000072859,0.010000000000039281,0.19999999999983023,0.0100000000000918,0.01,0.01,0.0928302321862493,0.01,0.15737409380334338,0.010000000000000054,0.09089347308995036,0.11890220092030225,0.01,0.010000000000041875,0.010000000000019351
2016-10-06,0.2,0.01,0.01,0.01,0.01,0.01,0.010000000000003407,0.2,0.010000000000015281,0.2,0.010000000000007964,0.01,0.01,0.11649738345295105,0.01000000000000885,0.01,0.01,0.1335026165470606,0.01,0.01
2016-11-04,0.03405167918497394,0.01,0.01,0.010000000000147337,0.01,0.2,0.01,0.010000000000155504,0.01,0.2,0.010000000000099483,0.01,0.14099268168172502,0.2,0.010000000000006724,0.08495563913381413,0.01,0.010000000000093616,0.01,0.01
2016-12-06,0.12679218357844396,0.01,0.010000000000001024,0.01,0.07076783839328463,0.01,0.18896039486366362,0.01,0.010000000000001947,0.01,0.17015190279785922,0.2,0.01,0.10332768036675528,0.01,0.010000000000001924,0.01,0.01,0.010000000000002316,0.01
2017-01-06,0.01,0.2,0.2,0.010000000000382883,0.01,0.01,0.1879973966733017,0.2,0.01,0.010000000000318077,0.010000000000291373,0.01,0.01,0.01,0.06200260332731148,0.010000000000259525,0.01000000000024151,0.010000000000326604,0.01,0.01
2017-02-07,0.2,0.01,0.01,0.010000000000004273,0.01,0.01,0.010000000000001218,0.01,0.010000000000001516,0.01,0.010000000000000432,0.1547226381723801,0.01,0.09527736182761912,0.01,0.010000000000000769,0.2,0.2,0.01,0.01
2017-03-09,0.01,0.19244017706718874,0.01,0.2,0.2,0.01,0.01,0.01000000000004662,0.07747245529319745,0.01,0.1800873676396369,0.01,0.01,0.010000000000106488,0.010000000000032901,0.010000000000079395,0.01000000000002342,0.010000000000056793,0.01,0.01
2017-04-07,0.2,0.009999999999999998,0.01,0.010000000000005359,0.1999999999999997,0.035148431187251195,0.01,0.2,0.01,0.01000000000000118,0.010000000000001808,0.010000000000000524,0.024851568812748553,0.01000000000000557,0.01,0.010000000000001607,0.01,0.01,0.2,0.01
2017-05-09,0.19999999999999324,0.01,0.11840395569689378,0.01,0.010000000000004703,0.010000000000020815,0.2,0.19999999999998558,0.010000000000013868,0.01,0.010000000000014157,0.010000000000005239,0.024599459856229428,0.038988372920841244,0.01,0.010000000000008596,0.01,0.08800821152600148,0.010000000000004972,0.010000000000006322
2017-06-08,0.19999999999995638,0.1999999999999923,0.010000000000192728,0.14559548616621984,0.010000000000233617,0.010000000000032146,0.023708063457430175,0.010000000000046798,0.06470225599982303,0.03599419437632239,0.19999999999967547,0.010000000000004146,0.010000000000162918,0.010000000000046867,0.010000000000111153,0.010000000000043724,0.01000000000000942,0.010000000000027067,0.010000000000288143,0.010000000000095653
2017-07-10,0.19999999999999987,0.010000000000004491,0.010000000000000732,0.01,0.010000000000006424,0.010000000000002151,0.010000000000004037,0.010000000000000682,0.19999999999999726,0.01,0.199999999999989,0.1702536696953933,0.010000000000001683,0.01,0.010000000000000286,0.010000000000000762,0.01,0.010000000000006056,0.07974633030460164,0.010000000000002495
2017-08-08,0.19999999999999607,0.122888308670391,0.01,0.19999999999999415,0.010000000000008988,0.01,0.010000000000000068,0.11162367868536167,0.19999999999999224,0.01,0.010000000000002169,0.01,0.01000000000000289,0.02548801264424813,0.01,0.010000000000000528,0.010000000000001837,0.01,0.010000000000004273,0.010000000000002868
2017-09-07,0.01,0.2,0.01,0.010000000000049483,0.01,0.2,0.01,0.01000000000011406,0.01,0.01000000000010193,0.2,0.01,0.010000000000023218,0.08667559393289316,0.010000000000111484,0.010000000000087965,0.02972325592372726,0.01,0.14360115014352912,0.01
2017-10-06,0.01000000000001751,0.01000000000005301,0.010000000000086462,0.01000000000006497,0.010000000000194478,0.11032967765024747,0.18357214235898967,0.19999999999973514,0.010000000000123075,0.19999999999972537,0.01,0.010000000000006403,0.010000000000122989,0.01,0.010000000000153598,0.010000000000042867,0.15609817999046297,0.01,0.010000000000112568,0.010000000000075593
2017-11-06,0.2,0.09425603414696639,0.010000000000001806,0.19999999999998322,0.1557439658530367,0.19999999999999057,0.010000000000003116,0.01,0.010000000000005555,0.01,0.01,0.01,0.010000000000002179,0.01,0.010000000000001983,0.010000000000003433,0.01,0.01000000000000296,0.010000000000015104,0.01000000000000796
2017-12-06,0.010000000000472721,0.08134015803176685,0.01000000000047111,0.010000000000138252,0.010000000000279624,0.19999999999938126,0.01000000000027621,0.03585914037488078,0.010000000000209782,0.01,0.08894497906735761,0.010000000000218574,0.010000000000191965,0.06385572252606633,0.010000000000072116,0.19999999999909887,0.01,0.1999999999989499,0.01,0.01000000000053458
2018-01-08,0.16188426587826965,0.010000000000011316,0.01,0.2,0.01,0.16842967485682878,0.01,0.2,0.010000000000037326,0.01,0.010000000000047473,0.01,0.01,0.05625226843887862,0.01,0.01000000000003544,0.07343379082608394,0.01000000000003712,0.01,0.01
2018-02-07,0.01,0.18749761349944363,0.010000000000135201,0.01,0.010000000000282732,0.01,0.010000000000241156,0.19999999999968648,0.010000000000064705,0.01,0.01,0.19999999999978624,0.010000000000113118,0.06250238650052843,0.010000000000037427,0.01,0.19999999999987195,0.010000000000114093,0.010000000000090069,0.010000000000090901
2018-03-09,0.010000000000045627,0.028967241043107834,0.010000000000005917,0.010000000000099407,0.01000000000001013,0.010000000000013392,0.01,0.19999999999996024,0.01,0.010000000000015923,0.19999999999995682,0.01,0.010000000000006322,0.010000000000124425,0.010000000000024862,0.010000000000008486,0.010000000000009895,0.19999999999996187,0.19999999999996654,0.031032758956812664
2018-04-10,0.010000000000006656,0.01,0.01,0.010000000000006582,0.01,0.1417110460417005,0.01,0.010000000000003907,0.2,0.010000000000004247,0.03264136133530295,0.2,0.12173968959561038,0.16390790302739747,0.01,0.010000000000008615,0.010000000000008905,0.010000000000005924,0.01,0.01
2018-05-09,0.01,0.010000000000107033,0.010000000000015732,0.01,0.010000000000166305,0.01,0.1999999999999475,0.01,0.1999999999999021,0.01,0.17301688700851306,0.01,0.010000000000081962,0.12791191715742894,0.10020500113762419,0.010000000000076188,0.010000000000031607,0.058866194696230376,0.01000000000008848,0.01000000000003527
2018-06-08,0.04345917009125085,0.10938743411971291,0.01,0.01000000000002848,0.01,0.010000000000019969,0.01,0.010000000000021282,0.2,0.010000000000007678,0.01000000000002678,0.01,0.010000000000002554,0.1999999999999864,0.01,0.010000000000029772,0.06369958224490403,0.05345381354419572,0.01,0.2
2018-07-10,0.010000000000135198,0.19999999999991042,0.010000000000298801,0.19999999999941087,0.0100000000000834,0.01,0.010000000000153008,0.01,0.010000000000223466,0.01,0.01,0.01000000000023411,0.010000000000075927,0.01,0.010000000000123204,0.11835955326251,0.1999999999996737,0.01,0.01000000000024047,0.13164044673707956
2018-08-08,0.01,0.1999999999999917,0.010000000000033567,0.01,0.010000000000070817,0.010000000000042208,0.1305174101090417,0.19999999999990425,0.010000000000044092,0.11948258989083138,0.010000000000039418,0.010000000000018962,0.010000000000036079,0.010000000000001556,0.19999999999987705,0.01000000000002862,0.01,0.01,0.010000000000051017,0.010000000000043295
2018-09-07,0.1729496324581781,0.01000000000018061,0.010000000000235827,0.01,0.010000000000113217,0.01000000000010002,0.010000000000302526,0.010000000000032037,0.010000000000178734,0.01,0.01,0.010000000000002503,0.19999999999990814,0.010000000000022578,0.19999999999961782,0.07251283821933113,0.014537529322289442,0.19999999999971602,0.010000000000071634,0.01
2018-10-08,0.19999999999971868,0.010000000000134825,0.010000000000000002,0.010000000000000002,0.010000000000062535,0.01000000000008338,0.010000000000319538,0.04999999999990393,0.010000000000000002,0.1999999999997435,0.010000000000000002,0.010000000000190822,0.1999999999996761,0.010000000000259211,0.1999999999998559,0.010000000000000002,0.010000000000000002,0.01000000000015263,0.010000000000173932,0.010000000000000002
2018-11-06,0.19999999999914958,0.010000000000867664,0.04478327497914791,0.09282355600001271,0.010000000000894332,0.010000000000313728,0.010000000000729339,0.010000000000093068,0.010000000000928969,0.01,0.19999999999866794,0.010000000000752886,0.010000000000784536,0.01,0.024417629119987575,0.01,0.01000000000030086,0.010000000000440113,0.19999999999923562,0.10797553989904468
2018-12-07,0.01,0.01000000000012587,0.010000000000069837,0.01,0.010000000000501438,0.01,0.14181921644188375,0.01,0.035635699078278814,0.01,0.01,0.01000000000022726,0.19999999999991566,0.12074598573316914,0.16179909874666898,0.01,0.010000000000053655,0.01,0.01000000000006895,0.19999999999990437
2019-01-09,0.09604391977116881,0.010000000001345417,0.010000000000157752,0.01,0.010000000001007108,0.1539560789197548,0.1999999999999437,0.01,0.0100000000007074,0.1999999999985857,0.01,0.01000000000062721,0.010000000002503666,0.01,0.01,0.01,0.01000000000035651,0.19999999999681572,0.010000000000125573,0.010000000000219996
2019-02-08,0.1639527822234701,0.010000000000292143,0.010000000000083317,0.19999999999944307,0.010000000000372152,0.010000000000019549,0.01000000000006913,0.010000000000069259,0.06443343390795671,0.010000000000161435,0.010000000000036778,0.010000000000021164,0.0100000000000885,0.03161378386897166,0.010000000000039118,0.010000000000002462,0.19999999999993698,0.010000000000165493,0.01,0.19999999999994422
2019-03-12,0.010000000000300763,0.010000000001632621,0.010000000002034264,0.1999999999971546,0.010000000001686155,0.01,0.010000000001823207,0.010000000000533815,0.010000000000579696,0.01,0.1999999999972024,0.01,0.022184802662713932,0.12729190630158327,0.01,0.01,0.010000000000309647,0.01,0.1105232910353281,0.19999999999800974
2019-04-10,0.01,0.2,0.01,0.0100000000011946,0.01,0.1589640000617589,0.01,0.01,0.01,0.010000000000073324,0.09103599994287677,0.01,0.01,0.010000000000356175,0.2,0.2,0.01,0.010000000000087416,0.01,0.01
2019-05-10,0.01,0.2,0.01,0.050000000000258275,0.010000000000237607,0.01,0.01,0.2,0.01,0.010000000000022833,0.01,0.01,0.01,0.010000000000000514,0.01,0.2,0.01,0.2,0.01,0.01
2019-06-11,0.01,0.01,0.01,0.11028586084422298,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.106144367187829,0.2,0.04356977204473071,0.2,0.01,0.01
2019-07-11,0.01,0.01,0.01,0.010000000000189973,0.01,0.01,0.2,0.06464686660273387,0.012210314657821476,0.2,0.010000000000171249,0.01,0.01,0.1999999999999972,0.0897308240366613,0.06107487714133348,0.01,0.010000000000123245,0.01,0.052337117562323655
2019-08-09,0.010000000003050822,0.010000000002536886,0.010000000001730718,0.01,0.07121136961897856,0.010000000001238444,0.19999999999699475,0.010000000000600005,0.010000000002464366,0.19999999999388693,0.17878863037637208,0.01000000000229958,0.010000000002346182,0.01,0.01000000000044602,0.19999999999410606,0.010000000001021555,0.010000000000268877,0.010000000001781993,0.010000000001514325
2019-09-10,0.01000000000030837,0.010000000000360387,0.010000000000195696,0.01,0.010000000000275696,0.010000000000103234,0.010000000000098324,0.01,0.19999999999963258,0.19999999999945628,0.10962304211272898,0.01000000000013472,0.010000000000284682,0.14037695788732743,0.010000000000247493,0.19999999999944154,0.010000000000122473,0.01,0.01000000000000738,0.01000000000011457
2019-10-09,0.12252914548881064,0.07774250968892472,0.01,0.010000000000810421,0.01,0.2,0.01,0.01,0.01,0.010000000000073945,0.010000000001620338,0.01,0.01,0.09743601091959397,0.01,0.1622923339017917,0.010000000000401072,0.2,0.01,0.01
2019-11-07,0.2,0.01,0.01,0.16882485890756452,0.01,0.02001494666894113,0.01,0.010000000000078989,0.01,0.01000000000015332,0.010000000000152005,0.010000000000046057,0.19999999999999934,0.2,0.01,0.010000000000025822,0.010000000000055995,0.010000000000110466,0.07116019442430033,0.010000000000047967
2019-12-09,0.2,0.2,0.01,0.10884822258151372,0.01,0.01,0.01,0.01,0.01,0.010000000000041498,0.010000000000014565,0.01,0.14115177741883542,0.010000000000028996,0.010000000000004871,0.2,0.01,0.010000000000035751,0.01,0.01
2020-01-09,0.01,0.01,0.01,0.16869766834070013,0.01,0.2,0.01,0.2,0.18435890000812974,0.010000000000012362,0.09694343165145394,0.01,0.01,0.010000000000038946,0.01,0.01,0.01,0.01,0.01,0.01
2020-02-10,0.19999999999996992,0.010000000000093661,0.010000000000030172,0.01,0.010000000000104158,0.010000000000144142,0.010000000000179874,0.01,0.010000000000095972,0.01,0.11371310844031007,0.08779626260751368,0.010000000000039012,0.13576046002421402,0.010000000000001005,0.01,0.12273016892763383,0.01,0.1999999999999426,0.01000000000005402
2020-03-11,0.010000000000102406,0.14832003186760637,0.010000000000071061,0.01,0.01000000000018621,0.19999999999988505,0.19999999999989024,0.01,0.19999999999987478,0.01,0.01,0.010000000000021408,0.10167996813243196,0.01,0.010000000000044851,0.01,0.010000000000053482,0.010000000000012327,0.010000000000138854,0.010000000000100885
2020-04-09,0.010000000006816792,0.010000000013927283,0.01000000001327732,0.07311414751101855,0.010000000014702163,0.01000000000726786,0.19999999997550771,0.17688585245216493,0.19999999997594836,0.010000000001050773,0.010000000001576703,0.010000000007149446,0.01000000001371372,0.19999999996191703,0.010000000005206627,0.010000000000000002,0.010000000006784082,0.010000000000000002,0.010000000035080819,0.010000000006227703
2020-05-11,0.2,0.2,0.2,0.010000000000000002,0.010000000000515,0.05000000000345957,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000202736,0.2,0.010000000000000002,0.010000000000000002,0.010000000000742137,0.010000000000000002,0.010000000003351175,0.01000000000184216
2020-06-10,0.19999999998919496,0.010000000008407657,0.010000000006597516,0.06562166483829017,0.010000000006693198,0.010000000003926783,0.010000000005243453,0.01000000000038866,0.18437833514821456,0.010000000000263005,0.19999999998583026,0.010000000004908515,0.010000000004902242,0.01,0.01000000000165258,0.1999999999844362,0.010000000005677051,0.01,0.010000000006280613,0.010000000003609417
2020-07-10,0.2,0.01,0.01,0.01,0.2,0.01,0.01,0.010000000000525144,0.01,0.2,0.01,0.010000000000092171,0.010000000000000009,0.010000000001002022,0.050000000000763725,0.010000000000290764,0.01,0.2,0.01,0.01
2020-08-10,0.010000000000474603,0.1345953889509463,0.010000000001006367,0.08508347354033202,0.02376130177616924,0.01000000000034548,0.010000000000782895,0.01,0.010000000001498723,0.1578317571780127,0.19999999999856347,0.010000000000929312,0.13446291890398498,0.01,0.1342651596459889,0.01,0.010000000000645952,0.01,0.010000000002159856,0.010000000000546811
2020-09-09,0.2,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.2,0.0654745446489655,0.01,0.18452545622391817,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-10-08,0.01,0.01,0.1685348013217201,0.010000000000121047,0.01,0.2,0.01,0.010000000000197776,0.01,0.01,0.010000000000121238,0.08146519867846354,0.01,0.2,0.010000000000214051,0.010000000000285779,0.2,0.01000000000012354,0.01,0.01
2020-11-06,0.19999999999829587,0.010000000001435763,0.01000000000108285,0.19999999999693316,0.19999999999858034,0.01000000000134092,0.01000000000210284,0.01,0.01000000000171774,0.010000000000000002,0.010000000000243764,0.01000000000031881,0.010000000001145653,0.01,0.01,0.049999999999320296,0.19999999999799806,0.01,0.010000000001777767,0.010000000001770693
2020-12-08,0.2,0.2,0.01,0.2,0.01,0.01,0.01,0.010000000000072904,0.01,0.01,0.010000000000287125,0.01,0.01,0.2,0.01000000000037931,0.050000000000988594,0.01,0.010000000000857,0.01,0.01
2021-01-08,0.1791403012010512,0.19999999999999987,0.01,0.010000000000001435,0.01,0.01,0.01,0.010000000000008284,0.010000000000007184,0.010000000000009612,0.010000000000002045,0.01,0.2,0.1745015791523615,0.01000000000000045,0.010000000000005912,0.01,0.09635811964661227,0.01,0.01
2021-02-09,0.2,0.01,0.01,0.010000000000051761,0.15516130734691336,0.01,0.01,0.10907241769203599,0.01,0.01,0.010000000000014183,0.01,0.01,0.010000000000214032,0.2,0.01,0.01,0.18576627496232873,0.01,0.01
2021-03-11,0.010000000000010802,0.010000000000069054,0.19999999999994414,0.19999999999983104,0.010000000000000009,0.010000000000019344,0.0100000000001664,0.01,0.19999999999994802,0.010000000000123164,0.010000000000015581,0.19999999999981208,0.01,0.01,0.049999998584262684,0.01,0.010000000000046801,0.01,0.010000000000233999,0.010000000000309333
2021-04-12,0.01,0.01,0.01,0.13894260685183904,0.2,0.2,0.01,0.01000000000000336,0.01,0.010000000000015294,0.01000000000000368,0.01,0.11409011899652048,0.010000000000104274,0.1969672741296168,0.010000000000041401,0.01,0.010000000000050566,0.01,0.01
2021-05-11,0.010000000000173348,0.010000000000373844,0.010000000000230758,0.010000000000018158,0.19999999999956083,0.010000000000212108,0.010000000000307971,0.19999999999988802,0.009999999999999995,0.010000000000217871,0.010000000000028169,0.19999999999941817,0.0499999999997508,0.01,0.010000000000060714,0.19999999999925183,0.010000000000135595,0.01,0.010000000000386844,0.010000000000187829
2021-06-10,0.01,0.2,0.01,0.010000000000009985,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000014494,0.01,0.01000000000000393,0.18998299696523563,0.05079414610674149,0.010000000000008275,0.2,0.11624471484520346,0.01,0.10297814208295682
2021-07-12,0.2,0.19999999999999826,0.01,0.01,0.01,0.01,0.01,0.010000000000002231,0.049999999999998795,0.2,0.010000000000001412,0.01,0.01,0.2,0.01,0.01000000000000581,0.01,0.010000000000004824,0.01,0.01
