,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.18901081321146718,0.01,0.01,0.16612914838966364,0.01,0.2,0.01,0.010000000000000748,0.01,0.01,0.010000000000000434,0.01,0.01,0.01,0.010000000000000387,0.010000000000000111,0.19999999999999976,0.010000000000000191,0.09486003839887275,0.01
2015-02-06,0.2,0.01,0.01,0.2,0.01,0.2,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.050000000000329364,0.01,0.01
2015-03-10,0.1974807844165465,0.010000000000016615,0.010000000000011042,0.03505110247838336,0.010000000000013538,0.19999999999997942,0.01000000000001121,0.01,0.01000000000001719,0.1999999999999682,0.01,0.010000000000003815,0.010000000000009513,0.01,0.01,0.010000000000000793,0.1511289891809882,0.07633912392403745,0.01000000000001213,0.010000000000007985
2015-04-09,0.18095126386129967,0.01,0.01,0.07105558735327533,0.01,0.2,0.01,0.010000000000002849,0.01,0.2,0.010000000000001305,0.01,0.01,0.01000000000000099,0.01,0.010000000000001872,0.14813377654598656,0.059859372239483385,0.01,0.01
2015-05-08,0.2,0.01,0.01,0.045688991129059144,0.01,0.2,0.010000000000000484,0.01000000000000111,0.01,0.010000000000000547,0.010000000000000132,0.014311008870941291,0.01,0.010000000000000144,0.010000000000000163,0.010000000000000207,0.2,0.19999999999999987,0.010000000000000247,0.010000000000000297
2015-06-09,0.1471741255554291,0.010000000000004963,0.010000000000002477,0.03454982354797409,0.010000000000003591,0.199999999999997,0.010000000000001659,0.01,0.010000000000003756,0.01,0.01,0.010000000000000788,0.010000000000001914,0.01,0.1190997935171449,0.01,0.19999999999999576,0.1591762573794428,0.010000000000001922,0.01000000000000176
2015-07-09,0.09377263644334254,0.010000000000012004,0.010000000000014107,0.09166287169302233,0.010000000000008856,0.19999999999999005,0.010000000000005782,0.01,0.010000000000012655,0.01,0.01,0.06391426720920498,0.03265948735900737,0.01,0.05249179561291091,0.19999999999998208,0.14549894168249147,0.01,0.010000000000006845,0.010000000000003312
2015-08-07,0.16083517247185525,0.01000000000001573,0.010000000000024314,0.03463239474342602,0.010000000000013876,0.19999999999998222,0.010000000000006037,0.06453243278467578,0.010000000000014109,0.01,0.01,0.010000000000001954,0.01,0.010000000000005125,0.19999999999998871,0.01,0.19999999999999218,0.01,0.01000000000001847,0.010000000000004963
2015-09-08,0.1971987830411356,0.010000000000001959,0.010000000000008986,0.012384680243556935,0.010000000000004781,0.19999999999999674,0.010000000000001046,0.01,0.010000000000006986,0.01,0.01,0.01,0.01,0.010000000000001614,0.05041653671529949,0.01,0.1999999999999978,0.01,0.19999999999999907,0.010000000000007185
2015-10-07,0.10868922103254762,0.01000000000000959,0.010000000000014338,0.01,0.01000000000000954,0.19999999999998544,0.010000000000005617,0.01,0.010000000000010958,0.01,0.010000000000000009,0.010000000000004268,0.010000000000002429,0.010000000000003227,0.1413107789674364,0.01,0.19999999999998866,0.19999999999997967,0.010000000000008134,0.010000000000006807
2015-11-05,0.2,0.01,0.01,0.03743035248065776,0.01,0.2,0.01,0.01000000000000079,0.01,0.01,0.010000000000000037,0.010000000000000543,0.01,0.010000000000000163,0.09487996783444871,0.010000000000000142,0.2,0.12768967968489917,0.01,0.01
2015-12-07,0.15287044491960217,0.010000000000009385,0.010000000000004465,0.01,0.010000000000007307,0.19999999999998874,0.010000000000004408,0.01,0.01000000000001057,0.010000000000004693,0.01,0.010000000000000642,0.010000000000000333,0.01,0.19999999999998852,0.01,0.1796811916096342,0.11744836347074934,0.010000000000005076,0.010000000000002342
2016-01-07,0.01,0.01,0.01,0.021339600353954196,0.01,0.2,0.01,0.010000000000000146,0.01,0.01000000000000123,0.011938389235242862,0.01,0.11516652419751905,0.010000000000001707,0.2,0.010000000000000493,0.2,0.010000000000001636,0.12155548621329607,0.01
